,Unnamed: 0,title,location1,location2,location3,area,orientation,room_type,price
0,0,整租·省政法学院家属院（贡元巷） 1室1厅 东,城关区,西关南关,省政法学院家属院（贡元巷）,50.00㎡,东,1室1厅1卫,1000
1,1,整租·三十五中家属院 1室1厅 南,城关区,东方红广场,三十五中家属院,40.00㎡,南,1室1厅0卫,1000
2,2,整租·甘家巷小区 1室0厅 东/西,城关区,西关南关,甘家巷小区,35.00㎡,东 西,1室0厅1卫,1000
3,3,整租·耿家庄社区 1室0厅 南/北,城关区,东方红广场,耿家庄社区,12.00㎡,南 北,1室0厅0卫,800
4,4,整租·甘肃省机关家属院 1室0厅 南,城关区,东方红广场,甘肃省机关家属院,20.00㎡,南,1室0厅1卫,800
5,5,整租·火电公司家属院（北区） 1室1厅 南,城关区,五泉广场,火电公司家属院（北区）,50.00㎡,南,1室1厅1卫,1000
6,6,整租·兰州市二十七中家属院 1室1厅 南,城关区,五泉广场,兰州市二十七中家属院,50.00㎡,南,1室1厅1卫,1000
7,7,整租·火电公司家属院（北区） 1室1厅 南,城关区,五泉广场,火电公司家属院（北区）,43.00㎡,南,1室1厅1卫,900
8,8,整租·煤炭局家属院 1室0厅 南,城关区,兰大盘旋路,煤炭局家属院,28.00㎡,南,1室0厅1卫,500
9,9,整租·春风广场 1室1厅 西,城关区,兰大盘旋路,春风广场,35.00㎡,西,1室1厅0卫,600
10,10,整租·甘肃省财贸学校家属院 1室0厅 南/北,城关区,兰大盘旋路,甘肃省财贸学校家属院,25.00㎡,南 北,1室0厅1卫,750
11,11,整租·玛雅大厦 1室0厅 南,城关区,西关南关,玛雅大厦,35.00㎡,南,1室0厅1卫,1000
12,12,整租·耿家庄小区 1室1厅 东/西,城关区,东方红广场,耿家庄小区,52.00㎡,东 西,1室1厅1卫,850
13,13,整租·兰烟家属院 1室1厅 南,城关区,西关南关,兰烟家属院,43.51㎡,南,1室1厅1卫,1000
14,14,整租·煤炭局家属院 1室0厅 南,城关区,兰大盘旋路,煤炭局家属院,25.00㎡,南,1室0厅0卫,600
15,15,整租·煤炭局家属院 1室0厅 南,城关区,兰大盘旋路,煤炭局家属院,22.00㎡,南,1室0厅0卫,600
16,16,整租·新厦开发公司家属院 1室1厅 南,城关区,西关南关,新厦开发公司家属院,50.00㎡,南,1室1厅1卫,700
17,17,整租·省工艺品进出口公司家属院 1室1厅 东,城关区,西关南关,省工艺品进出口公司家属院,36.00㎡,东,1室1厅1卫,1000
18,18,整租·玛雅大厦 1室0厅 南,城关区,西关南关,玛雅大厦,40.00㎡,南,1室0厅1卫,1000
19,19,整租·煤炭局家属院 1室0厅 南,城关区,兰大盘旋路,煤炭局家属院,20.00㎡,南,1室0厅1卫,500
20,20,整租·传输局家属院（金昌北路） 1室1厅 东/西,城关区,东方红广场,传输局家属院（金昌北路）,44.25㎡,东 西,1室1厅1卫,1000
21,21,整租·永昌路居民楼 1室1厅 北,城关区,西关南关,永昌路居民楼,40.00㎡,北,1室1厅1卫,1000
22,22,整租·兰州市邮政局家属楼（民主东路） 1室1厅 东/西,城关区,东方红广场,兰州市邮政局家属楼（民主东路）,50.00㎡,东 西,1室1厅1卫,1000
23,23,整租·飞天家园A区（南苑） 1室0厅 南/北,城关区,东部,飞天家园A区（南苑）,35.00㎡,南 北,1室0厅1卫,950
24,24,整租·玛雅大厦 1室0厅 北,城关区,西关南关,玛雅大厦,35.00㎡,北,1室0厅1卫,1000
25,25,整租·红西村社区（红山根西村/红山根西路） 1室1厅 东/西,城关区,火车站,红西村社区（红山根西村/红山根西路）,45.00㎡,东 西,1室1厅1卫,1000
26,26,整租·元森北新时代（玉兰园） 1室1厅 南,城关区,黄河北,元森北新时代（玉兰园）,30.00㎡,南,1室1厅1卫,600
27,27,整租·城关区蔬菜公司家属院 1室0厅 南,城关区,兰大盘旋路,城关区蔬菜公司家属院,10.00㎡,南,1室0厅1卫,400
